index,PID,ranking,name
0,06115,100.0,Radosław Szopiński
1,04349,99.47,Ryszard Łasowski
2,04153,98.78,Ireneusz Iwanow
3,02116,98.69,Andrzej Rękosiak
4,07906,98.69,Andrzej Parmonik
5,06137,98.01,Marcin Wiliński
6,06116,98.01,Radosław Szymczak
7,04063,97.88,Andrzej Prasalski
8,02395,97.7,Krzysztof Rogoziński
9,15352,97.2,Michał Maszenda
10,02121,96.85,Ryszard Sakowicz
11,07346,96.82,Kazimierz Lichawski
12,02114,96.07,Sebastian Rawlik
13,04077,95.91,Mirosław Morchat
14,11800,95.58,Mariusz Krakowiak
15,05989,95.52,Jerzy Kullass
16,04014,95.35,Piotr Wołowski
17,06338,95.24,Aleksander Marciniak
18,11789,95.18,Robert Kamiński
19,13003,95.02,Mariusz Bielski
20,11899,94.98,Dominik Głowacki
21,04731,94.97,Sylwester Walerowicz
22,05084,94.9,Tadeusz Kaczanowski
23,05519,94.83,Marcin Woźniak
24,07902,94.61,Damian Mazurak
25,03374,94.56,Bogusław Mojżesz
26,12000,94.56,Aleksandra Granowska
27,05548,94.47,Janusz Zwierzyński
28,05446,94.36,Marek Szukała
29,18785,94.36,Paweł Sierakowski
30,03750,94.27,Julian Jurski
31,10898,94.19,Zbigniew Ehlert
32,04494,94.15,Zenon Wawer
33,04402,94.15,Ryszard Pichla
34,04404,94.14,Wiesław Pietrzak
35,03853,94.13,Jerzy Misiórski
36,01231,94.03,Longin Bartnik
37,08297,94.02,Leszek Pęcherzewski
38,03801,94.0,Jerzy Kurzawski
39,01882,93.93,Andrzej Skotniczny
40,12374,93.91,Zdzisław Patreuha
41,04593,93.88,Wacław Janicki
42,01128,93.78,Roman Opaliński
43,20240,93.74,Bernard Kula
44,01831,93.74,Marian Kupnicki
45,01220,93.74,Grzegorz Bajek
46,20259,93.59,Jan Kot
47,04968,93.53,Leszek Ernst
48,01208,93.5,Adam Żarnowski
49,04347,93.5,Henryk Łakomski
50,01727,93.45,Artur Winkler
51,03647,93.44,Cezary Bołądź
